136 [D loss: 2.479137, acc.: 76.56%, op_acc: 34.38%] [G loss: 3.449841]
137 [D loss: 2.852701, acc.: 65.62%, op_acc: 20.31%] [G loss: 3.492438]
138 [D loss: 2.518864, acc.: 73.44%, op_acc: 21.88%] [G loss: 3.443632]
139 [D loss: 2.525840, acc.: 65.62%, op_acc: 29.69%] [G loss: 3.394794]
140 [D loss: 2.494183, acc.: 67.19%, op_acc: 31.25%] [G loss: 3.423484]
141 [D loss: 2.643385, acc.: 67.19%, op_acc: 20.31%] [G loss: 3.314031]
142 [D loss: 2.344129, acc.: 75.00%, op_acc: 31.25%] [G loss: 3.574965]
143 [D loss: 2.447200, acc.: 75.00%, op_acc: 32.81%] [G loss: 3.523459]
144 [D loss: 2.491184, acc.: 75.00%, op_acc: 31.25%] [G loss: 3.130208]
145 [D loss: 2.528497, acc.: 78.12%, op_acc: 23.44%] [G loss: 3.216029]
146 [D loss: 2.508931, acc.: 76.56%, op_acc: 35.94%] [G loss: 3.621249]
147 [D loss: 2.497219, acc.: 81.25%, op_acc: 26.56%] [G loss: 3.674581]
148 [D loss: 2.478462, acc.: 79.69%, op_acc: 29.69%] [G loss: 3.093045]
149 [D loss: 2.520471, acc.: 70.31%, op_acc: 34.38%] [G loss: 3.594626]
150 [D loss: 2.390572, acc.: 89.06%, op_acc: 28.12%] [G loss: 3.366848]
151 [D loss: 2.358998, acc.: 81.25%, op_acc: 34.38%] [G loss: 3.638092]
152 [D loss: 2.371275, acc.: 78.12%, op_acc: 32.81%] [G loss: 3.607304]
153 [D loss: 2.376495, acc.: 79.69%, op_acc: 29.69%] [G loss: 3.303126]
154 [D loss: 2.224266, acc.: 75.00%, op_acc: 40.62%] [G loss: 3.470410]
155 [D loss: 2.289448, acc.: 73.44%, op_acc: 37.50%] [G loss: 3.241263]
156 [D loss: 2.409683, acc.: 71.88%, op_acc: 40.62%] [G loss: 3.073006]
157 [D loss: 2.137324, acc.: 82.81%, op_acc: 39.06%] [G loss: 3.348435]
158 [D loss: 2.407833, acc.: 82.81%, op_acc: 23.44%] [G loss: 3.422750]
159 [D loss: 2.459467, acc.: 81.25%, op_acc: 26.56%] [G loss: 3.102821]
160 [D loss: 2.030873, acc.: 84.38%, op_acc: 43.75%] [G loss: 3.271279]
161 [D loss: 2.288226, acc.: 79.69%, op_acc: 31.25%] [G loss: 3.103699]
162 [D loss: 2.144178, acc.: 87.50%, op_acc: 43.75%] [G loss: 3.269132]
163 [D loss: 2.103872, acc.: 85.94%, op_acc: 39.06%] [G loss: 3.392951]
164 [D loss: 2.011630, acc.: 89.06%, op_acc: 39.06%] [G loss: 3.416270]
165 [D loss: 2.193632, acc.: 85.94%, op_acc: 39.06%] [G loss: 3.869030]
166 [D loss: 2.274362, acc.: 89.06%, op_acc: 31.25%] [G loss: 3.510793]
167 [D loss: 2.259260, acc.: 84.38%, op_acc: 35.94%] [G loss: 3.859244]
168 [D loss: 2.148172, acc.: 87.50%, op_acc: 34.38%] [G loss: 3.416729]
169 [D loss: 2.432524, acc.: 81.25%, op_acc: 28.12%] [G loss: 3.702128]
170 [D loss: 2.073295, acc.: 81.25%, op_acc: 35.94%] [G loss: 3.952925]
171 [D loss: 2.118831, acc.: 82.81%, op_acc: 48.44%] [G loss: 3.918162]
172 [D loss: 2.228839, acc.: 89.06%, op_acc: 40.62%] [G loss: 3.398523]
173 [D loss: 2.290112, acc.: 78.12%, op_acc: 29.69%] [G loss: 3.358929]
174 [D loss: 2.059604, acc.: 90.62%, op_acc: 40.62%] [G loss: 3.074658]
175 [D loss: 2.264977, acc.: 93.75%, op_acc: 35.94%] [G loss: 3.783162]
176 [D loss: 2.160161, acc.: 90.62%, op_acc: 37.50%] [G loss: 3.670016]
177 [D loss: 2.238270, acc.: 84.38%, op_acc: 35.94%] [G loss: 3.942454]
178 [D loss: 1.910504, acc.: 96.88%, op_acc: 32.81%] [G loss: 3.505655]
179 [D loss: 1.974192, acc.: 87.50%, op_acc: 35.94%] [G loss: 4.194344]
180 [D loss: 2.123102, acc.: 81.25%, op_acc: 43.75%] [G loss: 3.568665]
181 [D loss: 1.843840, acc.: 92.19%, op_acc: 43.75%] [G loss: 3.809342]
